Batch 373, Loss: 1.9741
Batch 374, Loss: 1.9704
Batch 375, Loss: 1.9540
Batch 376, Loss: 2.0133
Batch 377, Loss: 1.9479
Batch 378, Loss: 1.9989
Batch 379, Loss: 2.0367
Batch 380, Loss: 1.9533
Batch 381, Loss: 1.9676
Batch 382, Loss: 2.0539
Batch 383, Loss: 1.9630
Batch 384, Loss: 1.9719
Batch 385, Loss: 1.9470
Batch 386, Loss: 1.9613
Batch 387, Loss: 1.9330
Batch 388, Loss: 1.9737
Batch 389, Loss: 1.9710
Batch 390, Loss: 1.9803
Batch 391, Loss: 1.9906
Batch 392, Loss: 2.0074
Epoch 1/30, Loss: 2.1810, Training Acc: 0.1895, Validation Accuracy: 0.3075 
